a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,y,x
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,8:28,CHI,rebound,,,,,,,,,,Ben Gordon,,,,,,def,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,8:15,CHI,shot,Kirk Hinrich,,,,,,,,,P.J. Brown,2,,,made,,jump,34,19
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,7:59,CHI,foul,,,,,,,,Dwyane Wade,,Kirk Hinrich,,,,,,shooting,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,7:59,MIA,free throw,,,,,,,1,,2,Dwyane Wade,,,foul,made,,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,7:59,MIA,free throw,,,,,,,2,,2,Dwyane Wade,,,foul,missed,,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,7:58,CHI,rebound,,,,,,,,,,Kirk Hinrich,,,,,,def,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,7:51,MIA,foul,,,,,,,,P.J. Brown,,Shaquille O'Neal,,,,,,shooting,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,1,7:51,CHI,free throw,,,,,,,1,,2,P.J. Brown,,,foul,made,,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Dwyane Wade,Gary Payton,Udonis Haslem,1,7:51,MIA,sub,,,,Alonzo Mourning,,Shaquille O'Neal,,,,,,,,,,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Dwyane Wade,Gary Payton,Udonis Haslem,1,7:51,CHI,free throw,,,,,,,2,,2,P.J. Brown,,,foul,made,,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Dwyane Wade,Gary Payton,Udonis Haslem,1,7:35,MIA,shot,,,,,,,,,,Udonis Haslem,,,,missed,,jump,13,20
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Dwyane Wade,Gary Payton,Udonis Haslem,1,7:33,CHI,rebound,,,,,,,,,,Luol Deng,,,,,,def,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Dwyane Wade,Gary Payton,Udonis Haslem,1,7:27,CHI,shot,,,,,,,,,,Ben Gordon,,,,missed,,jump,20,15
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Dwyane Wade,Gary Payton,Udonis Haslem,1,7:25,MIA,rebound,,,,,,,,,,Udonis Haslem,,,,,,def,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Dwyane Wade,Gary Payton,Udonis Haslem,1,7:15,MIA,turnover,,,,,,,,,,Antoine Walker,,,bad pass,,,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Dwyane Wade,Gary Payton,Udonis Haslem,1,7:05,CHI,shot,Ben Gordon,,,,,,,,,Kirk Hinrich,2,,,made,,jump,16,19
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Dwyane Wade,Gary Payton,Udonis Haslem,1,7:05,MIA,foul,,,,,,,,Ben Wallace,,Alonzo Mourning,,,,,,away from play,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Dwyane Wade,Gary Payton,Udonis Haslem,1,7:05,CHI,free throw,,,,,,,1,,1,Ben Wallace,,,foul,made,,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Dwyane Wade,Gary Payton,Udonis Haslem,1,6:50,MIA,shot,,,,,,,,,,Dwyane Wade,,,,missed,,jump,40,8
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Dwyane Wade,Gary Payton,Udonis Haslem,1,6:48,CHI,rebound,,,,,,,,,,Kirk Hinrich,,,,,,def,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Dwyane Wade,Gary Payton,Udonis Haslem,1,6:42,CHI,shot,,,,,,,,,,Kirk Hinrich,,,,missed,,jump,38,19
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Dwyane Wade,Gary Payton,Udonis Haslem,1,6:41,CHI,rebound,,,,,,,,,,Luol Deng,,,,,,off,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Dwyane Wade,Gary Payton,Udonis Haslem,1,6:41,MIA,foul,,,,,,,,Luol Deng,,Udonis Haslem,,,,,,shooting,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Dwyane Wade,Gary Payton,Udonis Haslem,1,6:41,CHI,free throw,,,,,,,1,,2,Luol Deng,,,foul,made,,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Dwyane Wade,Gary Payton,Udonis Haslem,1,6:41,CHI,free throw,,,,,,,2,,2,Luol Deng,,,foul,made,,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Dwyane Wade,Gary Payton,Udonis Haslem,1,6:35,MIA,timeout,,,,,,,,,,,,,,,,regular,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Dwyane Wade,Gary Payton,Udonis Haslem,1,6:17,MIA,turnover,,,,,,,,,,,,,3 second violation,,,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Dwyane Wade,Gary Payton,Udonis Haslem,1,5:58,CHI,turnover,,,,,,,,,,P.J. Brown,,,lost ball,,Udonis Haslem,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Dwyane Wade,Gary Payton,Udonis Haslem,1,5:52,CHI,foul,,,,,,,,Dwyane Wade,,Ben Gordon,,,,,,personal,,
Andres Nocioni,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,Alonzo Mourning,Antoine Walker,Dwyane Wade,Gary Payton,Udonis Haslem,1,5:52,CHI,sub,,,,Andres Nocioni,,P.J. Brown,,,,,,,,,,,,
Andres Nocioni,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,Alonzo Mourning,Antoine Walker,Dwyane Wade,Gary Payton,Udonis Haslem,1,5:41,MIA,shot,Dwyane Wade,,,,,,,,,Gary Payton,2,,,made,,jump,47,4
Andres Nocioni,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,Alonzo Mourning,Antoine Walker,Dwyane Wade,Gary Payton,Udonis Haslem,1,5:31,CHI,shot,,,,,,,,,,Kirk Hinrich,2,,,made,,driving layup,25,6
Andres Nocioni,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,Alonzo Mourning,Antoine Walker,Dwyane Wade,Gary Payton,Udonis Haslem,1,5:16,MIA,shot,,,,,,,,,,Antoine Walker,,,,missed,,jump,2,19
Andres Nocioni,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,Alonzo Mourning,Antoine Walker,Dwyane Wade,Gary Payton,Udonis Haslem,1,5:14,CHI,rebound,,,,,,,,,,,,,,,,,,
Andres Nocioni,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,Alonzo Mourning,Dwyane Wade,Gary Payton,James Posey,Udonis Haslem,1,5:14,MIA,sub,,,,James Posey,,Antoine Walker,,,,,,,,,,,,
Andres Nocioni,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,Alonzo Mourning,Dwyane Wade,Gary Payton,James Posey,Udonis Haslem,1,5:02,CHI,shot,,,,,,,,,,Ben Gordon,,,,missed,,jump,24,26
Andres Nocioni,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,Alonzo Mourning,Dwyane Wade,Gary Payton,James Posey,Udonis Haslem,1,5:00,CHI,rebound,,,,,,,,,,Ben Wallace,,,,,,off,,
Andres Nocioni,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,Alonzo Mourning,Dwyane Wade,Gary Payton,James Posey,Udonis Haslem,1,4:44,MIA,foul,,,,,,,,Kirk Hinrich,,Dwyane Wade,,,,,,personal,,
Andres Nocioni,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,Alonzo Mourning,Dwyane Wade,Gary Payton,James Posey,Udonis Haslem,1,4:44,CHI,free throw,,,,,,,1,,2,Kirk Hinrich,,,foul,missed,,,,
Andres Nocioni,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,Alonzo Mourning,Dwyane Wade,Gary Payton,James Posey,Udonis Haslem,1,4:44,CHI,rebound,,,,,,,,,,,,,,,,,,
Andres Nocioni,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,Alonzo Mourning,Dwyane Wade,Gary Payton,James Posey,Udonis Haslem,1,4:44,CHI,free throw,,,,,,,2,,2,Kirk Hinrich,,,foul,made,,,,
Andres Nocioni,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,Alonzo Mourning,Dwyane Wade,Gary Payton,James Posey,Udonis Haslem,1,4:32,MIA,turnover,,,,,,,,,,Gary Payton,,,traveling,,,,,
Andres Nocioni,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,Alonzo Mourning,Dwyane Wade,Gary Payton,James Posey,Udonis Haslem,1,4:22,CHI,shot,,,,,,,,,,Ben Gordon,,,,missed,,driving layup,25,6
Andres Nocioni,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,Alonzo Mourning,Dwyane Wade,Gary Payton,James Posey,Udonis Haslem,1,4:20,MIA,rebound,,,,,,,,,,James Posey,,,,,,def,,
Andres Nocioni,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,Alonzo Mourning,Dwyane Wade,Gary Payton,James Posey,Udonis Haslem,1,4:12,MIA,shot,,,,,,,,,,Dwyane Wade,2,,,made,,jump,45,19
Andres Nocioni,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,Alonzo Mourning,Dwyane Wade,Gary Payton,James Posey,Udonis Haslem,1,3:57,MIA,foul,,,,,,,,Luol Deng,,James Posey,,,,,,personal,,
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Luol Deng,Alonzo Mourning,Dwyane Wade,Gary Payton,James Posey,Udonis Haslem,1,3:57,CHI,sub,,,,Chris Duhon,,Kirk Hinrich,,,,,,,,,,,,
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Luol Deng,Alonzo Mourning,Dwyane Wade,Gary Payton,James Posey,Udonis Haslem,1,3:57,CHI,free throw,,,,,,,1,,2,Luol Deng,,,foul,missed,,,,
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Luol Deng,Alonzo Mourning,Dwyane Wade,Gary Payton,James Posey,Udonis Haslem,1,3:57,CHI,rebound,,,,,,,,,,,,,,,,,,
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Luol Deng,Alonzo Mourning,Chris Quinn,Gary Payton,James Posey,Udonis Haslem,1,3:57,MIA,sub,,,,Chris Quinn,,Dwyane Wade,,,,,,,,,,,,
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Luol Deng,Alonzo Mourning,Chris Quinn,Gary Payton,James Posey,Udonis Haslem,1,3:57,CHI,free throw,,,,,,,2,,2,Luol Deng,,,foul,made,,,,
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Luol Deng,Alonzo Mourning,Chris Quinn,Gary Payton,James Posey,Udonis Haslem,1,3:44,MIA,turnover,,,,,,,,,,Gary Payton,,,bad pass,,,,,
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Luol Deng,Alonzo Mourning,Chris Quinn,Gary Payton,James Posey,Udonis Haslem,1,3:33,MIA,foul,,,,,,,,Ben Gordon,,James Posey,,,,,,shooting,,
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Luol Deng,Alonzo Mourning,Chris Quinn,Gary Payton,James Posey,Udonis Haslem,1,3:33,CHI,free throw,,,,,,,1,,2,Ben Gordon,,,foul,made,,,,
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Luol Deng,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,3:33,MIA,sub,,,,Antoine Walker,,James Posey,,,,,,,,,,,,
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Luol Deng,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,3:33,CHI,free throw,,,,,,,2,,2,Ben Gordon,,,foul,made,,,,
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Luol Deng,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,3:13,MIA,shot,Chris Quinn,,,,,,,,,Antoine Walker,2,,,made,,jump,28,7
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Luol Deng,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,3:07,CHI,timeout,,,,,,,,,,,,,,,,regular,,
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Tyrus Thomas,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,3:07,CHI,sub,,,,Tyrus Thomas,,Luol Deng,,,,,,,,,,,,
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Tyrus Thomas,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,2:53,CHI,shot,,,,,,,,,,Andres Nocioni,,,,missed,,jump,16,22
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Tyrus Thomas,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,2:52,CHI,rebound,,,,,,,,,,,,,,,,,,
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Tyrus Thomas,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,2:52,MIA,foul,,,,,,,,Tyrus Thomas,,Antoine Walker,,,,,,loose ball,,
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Tyrus Thomas,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,2:52,CHI,free throw,,,,,,,1,,2,Tyrus Thomas,,,foul,missed,,,,
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Tyrus Thomas,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,2:52,CHI,rebound,,,,,,,,,,,,,,,,,,
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Tyrus Thomas,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,2:52,CHI,free throw,,,,,,,2,,2,Tyrus Thomas,,,foul,missed,,,,
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Tyrus Thomas,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,2:51,CHI,rebound,,,,,,,,,,Ben Wallace,,,,,,off,,
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Tyrus Thomas,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,2:44,CHI,shot,,,,,,,,,,Chris Duhon,,,,missed,,jump,39,22
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Tyrus Thomas,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,2:42,MIA,rebound,,,,,,,,,,Antoine Walker,,,,,,def,,
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Tyrus Thomas,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,2:26,MIA,shot,,,Tyrus Thomas,,,,,,,Alonzo Mourning,,,,missed,,hook,23,11
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Tyrus Thomas,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,2:24,CHI,rebound,,,,,,,,,,Andres Nocioni,,,,,,def,,
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Tyrus Thomas,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,2:20,CHI,shot,,,,,,,,,,Ben Gordon,,,,missed,,jump,17,12
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Tyrus Thomas,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,2:18,MIA,rebound,,,,,,,,,,Udonis Haslem,,,,,,def,,
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Tyrus Thomas,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,2:07,MIA,shot,,,,,,,,,,Udonis Haslem,,,,missed,,turnaround jump,23,20
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Tyrus Thomas,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,2:05,CHI,rebound,,,,,,,,,,Ben Wallace,,,,,,def,,
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Tyrus Thomas,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,1:58,CHI,shot,,,,,,,,,,Andres Nocioni,,,,missed,,jump,4,22
